Timer,State,InteractionTorque,Angle,MotorTorque,HumanTorque
1.366827719,flexion,0.0,0.0,0,1.580977982155745
1.400214383,flexion,0.0,0.0,0,1.68834491045553
1.433496859,flexion,0.0,0.0,0,1.945716135835967
1.466874716,flexion,0.0,0.0,0,1.9875878847983226
1.500190124,flexion,0.0,0.0,0,1.9317432964327217
1.533484132,flexion,0.0,0.0,0,1.757287433119156
1.566790453,flexion,0.0,0.0,0,1.6742289780868165
1.600193308,flexion,0.0,0.0,0,1.6165662784487886
1.63352109,flexion,0.0,0.0,0,1.6201907686806973
1.666764752,flexion,0.0,0.0,0,1.67556973391733
1.70017974,flexion,0.0,0.0,0,1.8050616801575692
1.733466083,flexion,0.0,0.0,0,1.9846605646679336
1.766804375,flexion,0.0,0.0,0,2.1573783047951376
1.800183244,flexion,0.0,0.0,0,2.285458209559594
1.833476119,flexion,0.0,0.0,0,2.4248477822086167
1.866784314,flexion,0.0,0.0,0,2.535308757909103
1.900104973,flexion,0.0,0.0,0,2.637551049969362
1.933473342,flexion,0.0,0.0,0,2.6885697878717645
1.966754115,flexion,0.0,0.0,0,2.6979879189620135
2.000200932,flexion,0.0,0.0,0,2.668177419643206
2.033472037,flexion,0.0,0.0,0,2.6076386022391462
2.066798316,flexion,0.0,0.0,0,2.6076386022391462
2.100217251,flexion,0.0,0.0,0,2.6076386022391462
2.133503664,flexion,0.0,0.0,0,2.6076386022391462
2.295766123,flexion,-0.11329198368162166,73.58139567009938,0,2.55704939853447
2.300290575,flexion,-0.57724399412557,74.72783851582975,0,1.861983979879068
2.333500323,flexion,-0.11039003720642748,75.43163643038989,0,0.7093750272728441
2.366841069,flexion,0.3880183452490632,75.43458316640844,0,0.6681598428832354
2.40019975,flexion,-0.07370818389158429,75.43721043076235,0,0.7803682350452154
2.433466476,flexion,-0.11964527338723475,75.43978765309903,0,0.917977365882471
2.466913063,flexion,-0.07998184068704688,75.44256648530347,0,1.0139760401104256
2.500126168,flexion,-1.0361134705620252,75.42550830409452,0,0.7267314896724852
2.533428772,flexion,-1.0064028067324753,75.39902574572756,0,0.07253942381755038
2.566761704,flexion,-1.043916163267987,75.36745158859746,0,-0.4539059393849946
2.60016556,flexion,-1.0554362914530406,75.29953799767853,0,-0.8299198474654566
2.63345013,flexion,-1.0774195557591508,75.1872842835166,0,-1.3070713647575174
2.666759677,flexion,-1.0927343125052913,75.00787176779572,0,-2.007510836589077
2.70010397,flexion,-1.1524408083253537,74.74105761073116,0,-2.6753018445898875
2.733444316,flexion,-1.222934500359779,74.33154838719385,0,-3.352291783749733
2.766790072,flexion,-1.2889097769385836,73.78272457324873,0,-4.133643698442877
2.800186284,flexion,50.96398307181321,73.06476480554653,0,-4.637316143763879
2.833501993,flexion,-1.5123436677032163,72.16218696841169,0,-5.023248457413585
2.86681116,flexion,-1.619694178366331,71.06505423729901,0,-5.453204209158848
2.900168638,flexion,-1.7523819041051483,69.7171596237397,0,-5.855006350943326
2.933481341,flexion,-1.851280166493869,68.20676484439736,0,-6.078225894518481
3.280660828,flexion,-1.875676256421273,67.45240838744057,0,-6.1442052190843635
3.300111048,flexion,-2.2027639921583266,43.15713018721044,0,-1.3131462343402451
3.33344388,flexion,-2.1400571767683894,40.96074284705718,0,-0.7478230453474597
3.366746284,flexion,-2.076502917996299,38.83509200135103,0,-0.2678490591285958
3.400106477,flexion,-1.9964733892990825,36.90137322295009,0,-0.16180675483204798
3.4335771,flexion,-1.9383385529797876,35.03771455460538,0,-0.40225090102027966
3.466963313,flexion,-1.8814192044127864,33.39916947807994,0,-0.7898767240585988
3.500124048,flexion,-1.8263518437502657,32.05444981000502,0,-1.3017458366242332
3.533452571,flexion,-1.7728836992462564,30.573122894251913,0,-1.4408515410458749
