,Unnamed: 0,State,Angle,Range_0,Range_1,New_Range_0,New_Range_1,Filtered_New_Range_0,Filtered_New_Range_1,Angle_int,Motion
21,21,Flexion,134,-4.575204207,-2.108734324,-4.922346985,-1.600941841119712,-4.718400077613343,-2.312332836240833,134,19.826
22,22,Flexion,133,-4.02000343,-2.994968263,-4.084500199,-2.3847503229596456,-4.567277206888023,-1.8638716270093056,133,20.257
23,23,Flexion,131,-4.375427421,-2.004343043,-4.985192307,-0.8864688261160696,-4.5668802904457895,-1.4736282228137436,131,21.119
24,24,Flexion,130,-4.199801114,-2.767496773,-4.472964348,-2.0841477556928543,-4.665809589536369,-1.3398452357298578,130,21.55
25,25,Flexion,128,-4.175684782,-2.037289911,-4.603756644,-0.8745251772882965,-4.769609147899045,-1.6695119898577295,128,22.412
26,26,Flexion,127,-4.49360802,-2.798375153,-5.321597188,-2.1044282252357602,-4.763722953773306,-2.428363562977399,127,22.843
27,27,Flexion,126,-3.96336,-4.513441597,-4.11732655,-4.513441597,-4.635373016587247,-2.9840979738019384,126,23.274
28,28,Flexion,124,-4.282639173,-2.310469164,-4.956837764,-1.639063646668717,-4.590541981113459,-2.851022413105091,124,24.136
29,29,Flexion,123,-4.063847639,-3.545992081,-4.281311332,-2.988646627968496,-4.8065882682639245,-2.3459757625027606,123,24.567
30,30,Flexion,121,-4.924932529,-2.641045558,-5.491026921,-1.3772273731374658,-5.158509852898578,-1.9348102369831617,121,25.429
31,31,Flexion,120,-4.704472618,-2.911187435,-5.47050937,-2.1973236809556784,-5.319674424173438,-1.739315689933362,120,25.86
32,32,Flexion,118,-4.552618168,-2.18816312,-5.026872866,-1.3115989365065408,-5.165472517760978,-1.723416088946835,118,26.722
33,33,Flexion,117,-4.293058392,-2.970585721,-4.930451894,-2.2452681219801565,-4.901346464976736,-1.8308454968023276,117,27.153
34,34,Flexion,115,-4.347719703,-1.796737329,-4.701583753,-1.796737329,-4.774039932289099,-2.060392248653305,115,28.015
35,35,Flexion,114,-4.337689107,-2.7641277,-4.729236127,-2.029766172412771,-4.85164278825637,-2.3806796227561255,114,28.446
36,36,Flexion,113,-4.661367879,-3.925215794,-5.328151369,-3.4713748624268437,-5.023412643851201,-2.536164706782074,113,28.877
37,37,Flexion,111,-4.284502974,-2.343246307,-4.778353467,-1.5935796831824895,-5.1401535041060455,-2.3404804513604747,111,29.739
38,38,Flexion,110,-4.791668196,-3.16820164,-5.557616088,-2.430493069555748,-5.123296172186672,-1.9950651838930376,110,30.17
39,39,Flexion,108,-4.383011038,-2.239535694,-4.745215723,-1.3513625453805722,-5.006275866503121,-1.7667852001640534,108,31.032
40,40,Flexion,107,-4.35849506,-3.035063298,-4.797510947,-2.273128863102376,-4.908431738410647,-1.7588724566277805,107,31.463
