Time,State,Repeat,Weight,Angle,Current
13:11.4,Flexion,3,26.34,81.4,-158.71
13:11.5,Flexion,3,45.44,78.09,-174.85
13:11.6,Flexion,3,92.21,74.87,-798.93
13:11.7,Flexion,3,130.28,71.59,-285.14
13:11.9,Flexion,3,162.47,68.37,-285.14
13:12.0,Flexion,3,269.61,65.14,-333.56
13:12.1,Flexion,3,352.36,64.21,-115.67
13:12.2,Flexion,3,410.88,64.21,-118.36
13:12.3,Flexion,3,348.32,64.21,-115.67
13:12.5,Flexion,3,361.23,64.21,-115.67
13:12.6,Flexion,3,365.16,64.21,-115.67
13:12.7,Flexion,3,355.18,64.21,-115.67
13:12.8,Flexion,3,356.51,64.21,-118.36
13:12.9,Flexion,3,352.89,64.18,-115.67
13:13.1,Flexion,3,326.63,64.21,-115.67
13:13.2,Flexion,3,308.41,64.21,-115.67
13:13.3,Flexion,3,304.53,64.21,-115.67
13:13.4,Flexion,3,311.27,64.21,-115.67
13:13.5,Flexion,3,318.25,64.21,-115.67
13:13.7,Flexion,3,364.66,64.21,-115.67
13:13.8,Extension,3,389.68,64.21,158.71
13:13.9,Extension,3,389.96,67.25,-107.6
13:14.0,Extension,3,211.93,70.59,69.94
13:14.1,Extension,3,78.23,73.9,-492.27
13:14.3,Extension,3,75.92,77.18,-75.32
13:14.4,Extension,3,45.05,80.46,94.15
13:14.5,Extension,3,21.08,83.75,102.22
13:14.6,Extension,3,9.51,86.97,5.38
13:14.7,Extension,3,-42.21,90.25,169.47
13:14.9,Extension,3,-57.58,93.47,164.09
13:15.0,Extension,3,-69.75,96.75,642.91
13:15.1,Extension,3,-81.95,99.98,199.06
13:15.2,Extension,3,-113.32,103.2,667.12
13:15.3,Extension,3,-153.56,106.48,225.96
13:15.5,Extension,3,-181.03,109.79,-67.25
13:15.6,Extension,3,-191.34,113.1,-10.76
13:15.7,Extension,3,-102.39,116.38,196.37
13:15.8,Extension,3,-116.28,119.72,199.06
13:15.9,Extension,3,-139.6,123.06,209.82
13:16.1,Extension,3,-160.47,126.4,166.78
13:16.2,Extension,3,-131.34,129.71,188.3
13:16.3,Extension,3,-120.01,133.02,21.52
13:16.4,Extension,3,-122.88,136.33,220.58
13:16.6,Extension,3,-141.95,139.64,115.67
13:16.7,Extension,3,-162.01,142.98,196.37
13:16.8,Extension,3,-171.59,146.27,204.44
13:16.9,Extension,3,-184.93,149.58,201.75
13:17.0,Extension,3,-198.65,152.89,177.54
13:17.1,Extension,3,-178.57,156.17,505.72
13:17.3,Extension,3,-165.32,159.51,102.22
13:17.4,Extension,3,-157.34,162.82,67.25
13:17.5,Extension,3,-169.04,166.01,215.2
13:17.6,Extension,3,-195.42,169.29,-260.93
13:17.7,Extension,3,-272,172.57,328.18
13:17.9,Extension,3,-311.11,175.86,-196.37
13:18.0,Extension,3,-348.72,179.08,279.76
13:18.1,Extension,3,-437.75,179.81,86.08
13:18.2,Extension,3,-472.25,179.81,94.15
13:18.3,Extension,3,-479.67,179.81,96.84
13:18.5,Extension,3,-474.35,179.81,96.84
13:18.6,Extension,3,-473.61,179.81,94.15
13:18.7,Extension,3,-471.28,179.81,99.53
13:18.8,Extension,3,-458.58,179.81,96.84
13:19.0,Extension,3,-456.33,179.81,96.84
13:19.1,Extension,3,-453.66,179.81,96.84
13:19.2,Extension,3,-452.24,179.81,96.84
13:19.3,Extension,3,-448.23,179.81,91.46
13:19.4,Extension,3,-443.65,179.81,96.84
13:19.5,Extension,3,-442.14,179.84,102.22
13:19.7,Extension,3,-432.78,179.81,96.84
13:19.8,Flexion,4,-452.41,179.81,-995.3
13:19.9,Flexion,4,-458.86,176.68,118.36
13:20.0,Flexion,4,-429.03,173.28,-8.07
13:20.2,Flexion,4,-310.04,170.03,110.29
13:20.3,Flexion,4,-299.67,166.74,-2.69
13:20.4,Flexion,4,-337.25,163.46,123.74
13:20.5,Flexion,4,-389.71,160.15,-16.14
13:20.6,Flexion,4,-372.13,156.9,-13.45
13:20.8,Flexion,4,-342.83,153.59,-10.76
13:20.9,Flexion,4,-352.12,150.28,-5.38
13:21.0,Flexion,4,-354.72,147.03,-2.69
13:21.1,Flexion,4,-356.18,143.72,659.05
13:21.2,Flexion,4,-342.53,140.41,131.81
13:21.4,Flexion,4,-335.16,137.13,-8.07
13:21.5,Flexion,4,-336.16,133.81,13.45
13:21.6,Flexion,4,-310.28,130.5,-18.83
13:21.7,Flexion,4,-294.14,127.19,-32.28
13:21.8,Flexion,4,-265.18,123.88,-107.6
13:22.0,Flexion,4,-252.75,120.63,-56.49
13:22.1,Flexion,4,-251.2,117.29,473.44
13:22.2,Flexion,4,-225.75,114.01,-126.43
13:22.3,Flexion,4,-212.84,110.7,478.82
13:22.4,Flexion,4,-206.31,107.51,-80.7
13:22.6,Flexion,4,-153.89,104.22,-252.86
13:22.7,Flexion,4,-112.83,100.97,-121.05
13:22.8,Flexion,4,-79.69,97.72,-320.11
13:22.9,Flexion,4,-15.53,94.53,-185.61
13:23.0,Flexion,4,18.97,91.3,-196.37
13:23.2,Flexion,4,69.27,88.14,-680.57
13:23.3,Flexion,4,170.2,84.86,-236.72
13:23.4,Flexion,4,213.27,81.64,-271.69
13:23.5,Flexion,4,242.45,78.36,-86.08
13:23.6,Flexion,4,315.59,75.1,-494.96
13:23.8,Flexion,4,355.41,71.85,-349.7
13:23.9,Flexion,4,416.73,68.6,-392.74
13:24.0,Flexion,4,519.66,65.32,220.58
13:24.1,Flexion,4,557.84,64.35,-199.06
13:24.2,Flexion,4,583.09,64.35,-199.06
13:24.3,Flexion,4,436.02,64.35,-199.06
13:24.5,Flexion,4,393.87,64.35,-201.75
13:24.6,Flexion,4,349.89,64.35,-199.06
13:24.7,Flexion,4,345.46,64.35,-199.06
13:24.8,Flexion,4,354.44,64.35,-199.06
13:25.0,Flexion,4,377.64,64.35,-199.06
13:25.1,Flexion,4,395.69,64.35,-199.06
13:25.2,Flexion,4,443.8,64.35,-199.06
13:25.3,Flexion,4,502.05,64.35,-199.06
13:25.4,Flexion,4,480.35,64.35,-199.06
13:25.6,Flexion,4,446.23,64.35,-199.06
13:25.7,Flexion,4,398.58,64.35,-199.06
13:25.8,Extension,4,392.8,64.35,381.98
13:25.9,Extension,4,399.2,67.22,-535.31
13:26.0,Extension,4,237.3,70.45,129.12
13:26.2,Extension,4,40.97,73.7,-438.47
13:26.3,Extension,4,-98.95,77.04,147.95
13:26.4,Extension,4,-164.95,80.41,164.09
13:26.5,Extension,4,-114.53,83.69,-48.42
13:26.6,Extension,4,-81.76,86.94,-306.66
13:26.8,Extension,4,-114.91,90.28,150.64
13:26.9,Extension,4,-101.82,93.59,121.05
13:27.0,Extension,4,-3.03,96.9,691.33
13:27.1,Extension,4,40.52,100.18,-48.42
13:27.2,Extension,4,64.76,103.37,-18.83
13:27.4,Extension,4,-18.84,106.6,161.4
13:27.5,Extension,4,-53.74,109.85,796.24
13:27.6,Extension,4,-95.82,113.1,306.66
13:27.7,Extension,4,-174.18,116.35,250.17
13:27.8,Extension,4,-203.21,119.69,239.41
13:28.0,Extension,4,-231.8,122.95,266.31
13:28.1,Extension,4,-273.4,126.26,247.48
13:28.2,Extension,4,-285.25,129.63,325.49
13:28.3,Extension,4,-287.11,132.96,718.23
13:28.4,Extension,4,-279.91,136.28,225.96
13:28.6,Extension,4,-277.83,139.59,274.38
13:28.7,Extension,4,-281.48,142.93,250.17
13:28.8,Extension,4,-269.16,146.27,231.34
13:28.9,Extension,4,-260.59,149.61,-96.84
13:29.0,Extension,4,-241.54,152.92,207.13
13:29.2,Extension,4,-215.37,156.23,-320.11
13:29.3,Extension,4,-189.28,159.6,212.51
13:29.4,Extension,4,-144.39,162.88,-86.08
13:29.5,Extension,4,-151.95,166.13,642.91
13:29.7,Extension,4,-179.38,169.38,228.65
13:29.8,Extension,4,-261.81,172.6,102.22
13:29.9,Extension,4,-302.53,175.88,352.39
13:30.0,Extension,4,-347.11,179.14,336.25
13:30.1,Extension,4,-453.55,179.81,99.53
13:30.3,Extension,4,-485.02,179.81,99.53
13:30.4,Extension,4,-486.7,179.81,96.84
13:30.5,Extension,4,-474.11,179.81,96.84
13:30.6,Extension,4,-473.53,179.81,96.84
13:30.7,Extension,4,-473.59,179.81,96.84
13:30.9,Extension,4,-464.19,179.81,99.53
13:31.0,Extension,4,-458.33,179.81,96.84
13:31.1,Extension,4,-454.82,179.81,104.91
13:31.2,Extension,4,-460.53,179.81,99.53
13:31.3,Extension,4,-456.98,179.81,99.53
13:31.5,Extension,4,-460.66,179.81,99.53
13:31.6,Extension,4,-473.89,179.81,99.53
13:31.7,Extension,4,-471.08,179.81,99.53
13:31.8,Flexion,5,-437.42,179.81,-373.91
13:31.9,Flexion,5,-436.47,176.65,446.54
13:32.1,Flexion,5,-417.29,173.28,-5.38
13:32.2,Flexion,5,-289.77,170.08,-48.42
13:32.3,Flexion,5,-242.57,166.83,-61.87
13:32.4,Flexion,5,-199.68,163.58,-185.61
13:32.5,Flexion,5,-118.86,160.3,-677.88
13:32.7,Flexion,5,-84.89,157.02,185.61
13:32.8,Flexion,5,-63.7,153.77,-126.43
13:32.9,Flexion,5,-41.66,150.48,-172.16
13:33.0,Flexion,5,-47.34,147.17,-137.19
13:33.1,Flexion,5,-46.39,143.86,-196.37
13:33.3,Flexion,5,-58.33,140.55,-99.53
13:33.4,Flexion,5,-67.01,137.24,-96.84
13:33.5,Flexion,5,-79.42,133.93,-102.22
13:33.6,Flexion,5,-93.19,130.59,-150.64
13:33.8,Flexion,5,-114.87,127.22,-37.66
13:33.9,Flexion,5,-166.16,123.88,-64.56
13:34.0,Flexion,5,-182.9,120.6,-88.77
13:34.1,Flexion,5,-192.18,117.29,-250.17
13:34.2,Flexion,5,-202.09,113.98,24.21
13:34.3,Flexion,5,-202.26,110.73,-72.63
13:34.5,Flexion,5,-199.89,107.54,-575.66
13:34.6,Flexion,5,-98.99,104.25,-102.22
13:34.7,Flexion,5,-58,100.94,-88.77
13:34.8,Flexion,5,-56.19,97.72,-317.42
13:34.9,Flexion,5,-61.68,94.44,-104.91
13:35.1,Flexion,5,-45.51,91.22,-314.73
13:35.2,Flexion,5,-24.43,87.99,-147.95
13:35.3,Flexion,5,33.23,84.71,-309.35
13:35.4,Flexion,5,65.35,81.49,-169.47
13:35.5,Flexion,5,88.55,78.21,118.36
13:35.7,Flexion,5,140.5,74.96,-204.44
13:35.8,Flexion,5,173.3,71.71,320.11
13:35.9,Flexion,5,214.5,68.48,-320.11
13:36.0,Flexion,5,366.37,65.23,158.71
13:36.1,Flexion,5,430.85,64.26,-147.95
13:36.3,Flexion,5,444.85,64.26,-153.33
13:36.4,Flexion,5,398.95,64.26,-153.33
13:36.5,Flexion,5,389.29,64.26,-161.4
13:36.6,Flexion,5,352.19,64.26,-150.64
13:36.7,Flexion,5,346.83,64.26,-150.64
13:36.9,Flexion,5,346.66,64.26,-153.33
13:37.0,Flexion,5,336.56,64.26,-153.33
13:37.1,Flexion,5,343.69,64.26,-150.64
13:37.2,Flexion,5,339.61,64.26,-153.33
13:37.3,Flexion,5,330.05,64.26,-158.71
13:37.5,Flexion,5,340.7,64.29,-150.64
13:37.6,Flexion,5,334.27,64.26,-150.64
13:37.7,Flexion,5,339.82,64.26,-158.71
